ID,X,Y,Z,MID
0,0,0,1060,1060
1,-36,33,1224,1223
2,7,-85,1345,1342
3,67,88,1428,1423
4,-128,-23,1495,1489
5,125,-79,1553,1546
6,-42,158,1605,1597
7,-82,-158,1653,1643
8,179,66,1697,1686
9,-188,78,1738,1726
10,91,-195,1777,1764
11,68,216,1813,1799
12,-205,-119,1848,1833
13,241,-53,1882,1866
14,-147,210,1914,1897
15,-34,-263,1945,1927
16,210,177,1975,1956
17,-283,12,2004,1984
18,207,-206,2033,2012
19,-14,300,2060,2038
20,-197,-236,2087,2064
21,313,42,2113,2089
22,-265,185,2138,2113
23,73,-323,2163,2137
24,168,293,2187,2161
25,-329,-105,2211,2184
26,320,-148,2234,2206
27,-139,331,2257,2228
28,-124,-344,2279,2250
29,330,173,2301,2271
30,-366,97,2323,2292
31,208,-324,2344,2312
32,66,386,2365,2332
33,-314,-243,2385,2352
34,402,-33,2406,2372
35,-278,301,2426,2391
36,2,-416,2445,2410
37,283,312,2465,2428
38,-425,-39,2484,2447
39,345,-262,2503,2465
40,-78,431,2521,2483
41,-236,-376,2540,2500
42,433,119,2558,2518
43,-405,208,2576,2535
44,160,-431,2593,2552
45,175,431,2611,2569
46,-425,-201,2628,2586
47,455,-140,2645,2602
48,-243,415,2662,2619
49,-102,-475,2679,2635
50,400,284,2696,2651
51,-492,61,2712,2667
52,324,-381,2728,2682
53,18,505,2745,2698
54,-358,-363,2761,2713
55,514,26,2776,2728
56,-401,331,2792,2743
57,72,-519,2808,2758
58,300,436,2823,2773
59,-520,-120,2838,2788
60,468,-265,2853,2802
61,-167,516,2868,2817
62,-227,-498,2883,2831
63,508,215,2898,2845
64,-524,186,2913,2859
65,263,-495,2927,2873
66,141,547,2942,2887
67,-477,-310,2956,2901
68,565,-94,2970,2914
69,-356,455,2984,2928
70,-47,-598,3060,3001
71,438,410,3060,3001
72,-600,-6,3060,3001
73,446,-401,3060,3001
74,-58,597,3060,3001
75,-360,-480,3060,3001
76,590,110,3060,3001
77,-509,317,3060,3001
78,161,-578,3060,3001
79,271,535,3060,3001